symbol,year,Volume,marketCap,country,std_rel
OXM,2014,88434.12698412698,1109.8399225,0.0,1.5867958910734892
OXM,2015,166765.47619047618,1147.8871825,0.0,2.42815926554451
OXM,2016,176639.68253968254,1097.292615,0.0,2.1238598774603656
OXM,2017,161717.13147410357,975.4194024999999,0.0,2.5245742946043888
OXM,2018,146172.50996015937,1297.042055,0.0,1.9353400858939702
OXM,2019,161496.03174603175,1350.461495,0.0,1.8638005706683773
OXM,2020,155979.0513833992,933.112020485,0.0,2.318265954887281
OXM,2021,110499.60317460318,1180.9282675,0.0,1.861947923504762
OXM,2022,208780.4780876494,1467.9235575,0.0,1.5509530207319262
OXM,2023,179122.0,1672.9848425,0.0,1.798861285749918
OXM,2024,266273.54497354495,1598.2961300000002,0.0,1.5333474906685607
OXY,2004,3775813.376984127,15996.067500000001,0.0,2.039008628329366
OXY,2005,5931639.912698412,25112.466,0.0,2.8052713715481
OXY,2006,6728774.517928286,36030.57225,0.0,3.37727848573443
OXY,2007,6483297.087649402,41339.019,0.0,2.203135029685445
OXY,2008,9185470.256916996,60782.716499999995,0.0,1.9800333953753884
OXY,2009,6957089.492063492,49048.20625,0.0,1.6277337225376503
OXY,2010,5444710.103174604,62602.546500000004,0.0,1.6411403657775745
OXY,2011,5218443.801587301,75012.84125,0.0,1.992750129555708
OXY,2012,4642804.216,67324.1905,0.0,2.071407732410282
OXY,2013,4606170.293650794,64212.141749999995,0.0,1.6567895381772562
OXY,2014,4657492.333333333,73690.10425,0.0,1.9404575284060115
OXY,2015,4875789.226190476,62405.646912935,0.0,1.8242903960002936
OXY,2016,4659548.698412699,52843.92293395,0.0,2.143642821985915
OXY,2017,4461605.976095618,51091.167499999996,0.0,2.7386404999830436
OXY,2018,5056785.258964144,54836.65925,0.0,1.842170508295283
OXY,2019,8649775.0,49287.460250000004,0.0,2.653814889733148
OXY,2020,30572184.980237152,25397.2103274725,0.0,4.086107856675381
OXY,2021,17600875.793650795,19871.274624614998,0.0,4.921148467510659
OXY,2022,25502683.26693227,42820.599714655,0.0,2.3655387058427824
OXY,2023,10923350.0,56795.5179027,0.0,2.1136641172011577
OXY,2024,8928151.851851853,56214.99599999999,0.0,1.806092677765327
PACB,2011,293100.79365079367,555.59294125,0.0,2.810027473583875
PACB,2012,350976.0,159.5220275,0.0,4.112240979806584
PACB,2013,606751.5873015873,122.92147500000002,0.0,6.319027575861126
PACB,2014,723336.9047619047,376.67492749999997,0.0,4.123231450247372
PACB,2015,1191454.365079365,444.94176491250005,0.0,4.229793669466589
PACB,2016,1636608.3333333333,658.6097475,0.0,4.127678791181845
PACB,2017,1094102.7888446215,501.191275,0.0,5.388714462396798
PACB,2018,1794191.235059761,409.1567525,0.0,4.955428949516432
PACB,2019,1616529.761904762,958.9276450000001,0.0,1.9576731725637933
PACB,2020,2950381.4229249014,644.154649425,0.0,2.8905871466987594
PACB,2021,2935834.9206349207,4942.9702173225,0.0,3.676124292434337
PACB,2022,6398443.42629482,3151.04366677,0.0,3.83199764417788
PACB,2023,4225470.4,2319.322112325,0.0,3.4454155225232395
PACB,2024,9559716.931216931,1911.22501673,0.0,5.8121972013163425
PACK,2018,33376.84729064039,372.45,0.0,4.024924438456567
PACK,2019,137648.80952380953,432.4956114,0.0,2.071950986666474
PACK,2020,165837.15415019763,433.42796013500003,0.0,1.9303616352815773
PACK,2021,373855.95238095237,1264.621488935,0.0,2.435936709831724
PACK,2022,673718.7250996016,1843.7305750975,0.0,2.774084885584733
PACK,2023,446776.4,388.7255183525,0.0,3.8961245245578477
PACK,2024,497204.2328042328,528.6413000866668,0.0,3.9996892687332077
PAGS,2018,3390404.661016949,34052.10844117521,0.0,4.4223285821515095
PAGS,2019,2473459.523809524,35969.23639270114,0.0,3.4780566367672283
PAGS,2020,1928350.5928853755,47229.355543073376,0.0,2.1841079027029284
PAGS,2021,2409169.8412698414,86170.81491450875,0.0,2.582678521950952
PAGS,2022,3833967.729083665,38115.440072682584,0.0,3.338564334407574
PAGS,2023,4135740.0,16797.891460931434,0.0,2.6408845108996193
PAGS,2024,3816021.693121693,18154.023970300525,0.0,1.9215274304905405
PAHC,2014,172211.47540983607,664.091679175,0.0,25.204671966034713
PAHC,2015,180776.9841269841,1250.3292875,0.0,2.5053068807489303
PAHC,2016,165466.26984126985,1053.9628475,0.0,2.2824460153987487
PAHC,2017,116613.94422310757,1202.682235,0.0,2.30397707391995
PAHC,2018,115309.16334661354,1570.01375,0.0,2.0570271043712824
PAHC,2019,184583.73015873015,1417.59522,0.0,2.501117324834745
PAHC,2020,155035.96837944665,977.2662049999999,0.0,1.8669313343468246
PAHC,2021,119436.50793650794,911.7353700000001,0.0,1.6000902627763587
PAHC,2022,128300.796812749,820.59191,0.0,1.3264612012788999
PAHC,2023,124737.6,564.20702,0.0,1.941125983319733
PAHC,2024,153026.45502645502,499.00928,0.0,2.5894338647121926
PANL,2014,20998.015873015873,125.27569152499998,0.0,2.8094219241298957
PANL,2015,7279.761904761905,124.53251724666667,0.0,4.21548422563296
PANL,2016,11858.333333333334,91.749003155,0.0,3.3247141805613105
PANL,2017,34440.2390438247,106.665786685,0.0,5.4080889180268645
PANL,2018,24868.127490039842,123.3092181725,0.0,3.9585311818859776
PANL,2019,20635.714285714286,140.96401428,0.0,2.5779226385324425
PANL,2020,34414.229249011856,114.4386172175,0.0,2.56607082007007
PANL,2021,363907.5396825397,148.2306421125,0.0,2.5375002210057747
PANL,2022,280645.01992031874,215.26836623999998,0.0,1.8644553511074038
PANL,2023,219421.6,249.90862091500003,0.0,1.9686660979797654
PANL,2024,220268.25396825396,313.7908879633333,0.0,1.938138259768356
PANW,2012,1775164.2857142857,2509.9027848600003,0.0,4.667859730192368
PANW,2013,3080886.904761905,3661.3745774999998,0.0,3.3479021949497145
PANW,2014,5375584.523809524,4602.6428325,0.0,4.276241296482839
PANW,2015,4382311.904761905,11591.09694,0.0,2.2904257834245882
PANW,2016,5494561.904761905,12851.9655,0.0,3.6483940971716033
PANW,2017,5132835.059760956,12261.3405,0.0,5.084626662717237
PANW,2018,4277904.38247012,15963.39,0.0,2.3727440283652994
PANW,2019,3870130.9523809524,20632.44075,0.0,2.56014991188574
PANW,2020,3977021.7391304346,22154.136,0.0,1.7248547278984256
PANW,2021,3570025.0,32202.55012377,0.0,2.8406110685605697
PANW,2022,4638762.948207172,53105.974246455,0.0,2.046244333445548
PANW,2023,4571174.0,58704.092666666664,0.0,2.97751740302025
PANW,2024,4151865.6084656087,92492.22633333334,0.0,3.556609955208814
PAR,2004,14795.238095238095,83.8066,0.0,1.8849699989002469
PAR,2005,141449.40476190476,206.803788575,0.0,3.3255871618900836
PAR,2006,92515.13944223107,253.8467675,0.0,2.9236954701898012
PAR,2007,34496.01593625498,130.44046749999998,0.0,1.6835946427406872
PAR,2008,25681.422924901184,111.9834025,0.0,1.9930194461881319
PAR,2009,22004.761904761905,90.14756,0.0,1.8991182495265122
PAR,2010,30561.11111111111,83.27056666666667,0.0,2.028685717922204
PAR,2011,39498.80952380953,75.52680749999999,0.0,1.4990074448636055
PAR,2012,14642.0,64.532425,0.0,1.3897208987625649
PAR,2013,16449.603174603173,72.256038725,0.0,1.8645676280271206
PAR,2014,20559.126984126986,75.29236320000001,0.0,2.26406966944375
PAR,2015,29198.015873015873,78.39462,0.0,3.1283785063017446
PAR,2016,21914.68253968254,91.52258,0.0,2.308888421179806
PAR,2017,53083.26693227092,105.29583,0.0,3.062614885910715
PAR,2018,105884.86055776893,207.33357750000002,0.0,4.164701672309213
PAR,2019,187551.5873015873,384.743281165,0.0,2.8992317963119043
PAR,2020,319632.80632411066,418.214992675,0.0,2.1705947811059434
PAR,2021,299499.20634920633,1325.5626546224998,0.0,2.868899503101776
PAR,2022,305403.5856573705,1279.253505,0.0,2.194740074778876
PAR,2023,255585.2,834.2482025,0.0,2.54399516220519
PAR,2024,327280.4232804233,1197.1451333333332,0.0,2.1718584460489327
PARA,2006,3987113.944223108,19836.786,0.0,2.9916170201469288
PARA,2007,4816045.418326694,23156.65225,0.0,1.4841288859548691
PARA,2008,7997598.418972332,17256.209749999998,0.0,1.5562661321860933
PARA,2009,11604752.777777778,5628.72025,0.0,3.309035483764642
PARA,2010,10117835.317460317,8953.7975,0.0,2.2567483521846325
PARA,2011,9898553.174603175,14914.528750000001,0.0,2.189582610753294
PARA,2012,6601585.2,18606.125,0.0,2.018824110149487
PARA,2013,5380972.222222222,26112.357500000002,0.0,2.229170221359262
PARA,2014,8653714.285714285,35753.635,0.0,2.339149724834364
PARA,2015,5270666.666666667,28587.71,0.0,1.7020995874088825
PARA,2016,4439918.253968254,22773.68,0.0,2.0152290612334802
PARA,2017,4131898.0079681273,26359.615,0.0,3.3089942332247793
PARA,2018,3687552.589641434,21802.285,0.0,2.3497701950685363
PARA,2019,3882637.698412698,21429.9275,0.0,2.2156736248933346
PARA,2020,11959688.537549406,13434.775,0.0,2.4527116070265147
PARA,2021,20752003.968253966,24364.43,0.0,4.0762705132320365
PARA,2022,11626394.023904383,21393.9375,0.0,2.366351604685937
PARA,2023,13327628.0,12052.545,0.0,4.340370556468228
PARA,2024,16190820.634920634,8494.699999999999,0.0,5.017797307061531
PARR,2013,23934.722222222223,296.93587720000005,0.0,2.6599073586534097
PARR,2014,44822.5,652.7829194833333,0.0,2.1088446647471355
PARR,2015,116863.09523809524,689.7371398375,0.0,2.240221339341994
PARR,2016,218655.15873015873,776.3241504875,0.0,2.4312925400159355
PARR,2017,268447.80876494024,693.84578,0.0,1.8734231686516531
PARR,2018,234516.73306772907,851.0708450000001,0.0,2.1896078750320087
PARR,2019,327445.6349206349,874.0702825,0.0,1.6512636346517953
PARR,2020,495666.40316205536,946.6558633333334,0.0,2.7577801537934903
PARR,2021,406495.2380952381,718.155715,0.0,2.8384883042278677
PARR,2022,792425.0996015937,904.35284,0.0,1.9728147449620606
PARR,2023,922919.6,1431.99111,0.0,1.9645910890862583
PARR,2024,894958.7301587302,2174.70783,0.0,1.8592178198242757
PATK,2004,9403.57142857143,46.3285286925,0.0,2.5767804527780944
PATK,2005,10716.07142857143,48.640842479999996,0.0,2.5511584690635973
PATK,2006,9051.99203187251,54.0057075,0.0,2.0617214148727085
PATK,2007,12534.561752988047,59.99250676,0.0,2.8245842216366683
PATK,2008,15987.450592885376,57.393,0.0,2.985455470792092
PATK,2009,39728.57142857143,34.08453,0.0,6.157502477851007
PATK,2010,22458.035714285714,20.21224401,0.0,3.7309710592810585
PATK,2011,17948.214285714286,18.4475253375,0.0,2.984623355244465
PATK,2012,295149.6,140.67999,0.0,4.782301675448666
PATK,2013,177219.64285714287,191.02843125,0.0,3.2667694297639716
PATK,2014,152785.7142857143,400.47656062500005,0.0,2.3378110572282838
PATK,2015,175847.91666666666,531.0231918750001,0.0,2.2067275060596687
PATK,2016,238594.04761904763,702.2611575000001,0.0,2.1678226180583167
PATK,2017,175964.54183266932,1096.58275125,0.0,2.740833802173021
PATK,2018,261045.01992031874,1486.184715,0.0,2.9912679721573747
PATK,2019,215679.3650793651,1056.612065,0.0,2.7072588709033134
PATK,2020,219031.62055335968,1040.3216675,0.0,2.393876010998118
PATK,2021,158488.09523809524,1588.0135175,0.0,1.7500585697920752
PATK,2022,217134.66135458168,1628.030222525,0.0,1.7428647059402032
PATK,2023,143428.4,1370.5708425,0.0,1.685869232698308
PATK,2024,179644.97354497353,2111.1799699999997,0.0,1.5298437658977286
PAX,2021,376702.09205020923,2429.849997135,0.0,1.7770524930959406
PAX,2022,218641.0358565737,2264.315032575,0.0,1.4117989166429394
PAX,2023,256998.4,2068.32564965,0.0,1.4133992726827385
PAX,2024,425806.34920634923,2220.0704196333336,0.0,1.2115670793183577
PAYC,2014,150569.06077348065,756.799298615,0.0,8.701059374140058
PAYC,2015,647701.5873015873,1466.2817142325,0.0,3.6911110055157663
PAYC,2016,775387.3015873015,2180.0503921025,0.0,3.591944972893364
PAYC,2017,582129.4820717132,3194.4294829299997,0.0,4.3954076017618835
PAYC,2018,762109.9601593625,5234.390033145,0.0,3.5005819171468433
PAYC,2019,633614.2857142857,9931.765032,0.0,3.1635178363224203
PAYC,2020,731875.4940711462,14205.2891225,0.0,2.47296413051618
PAYC,2021,373217.85714285716,21600.119365,0.0,3.0554194875748073
PAYC,2022,447944.22310756973,22284.592044999998,0.0,2.236304428925533
PAYC,2023,668734.0,18312.4868975,0.0,3.4467895951240597
PAYC,2024,841196.8253968254,12678.202503333334,0.0,2.8580346743632
PAYO,2021,2198132.9365079366,2584.3839203166667,0.0,2.399912956900672
PAYO,2022,3739358.565737052,2098.2904751650003,0.0,2.6281172028882085
PAYO,2023,2973754.4,2015.8370474899998,0.0,2.29801397648994
PAYO,2024,2644474.603174603,1930.8163552100002,0.0,2.2105154707613908
PAYS,2010,5273.412698412699,12.684110039999998,0.0,13.776316174195669
PAYS,2011,2936.904761904762,3.7005306350000002,0.0,18.91484680352883
PAYS,2012,4812.4,7.7634416,0.0,11.495823184381448
